"","prob","acc","elap","welap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"23",0.4,0.976214746856949,6,82.0599999999977,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"24",0.4,0.978678219503908,6.32000000000698,88.4000000000087,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"25",0.45,0.979240037071362,6.69999999999709,95.1199999999953,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"26",0.45,0.977849860982391,6.79000000000815,101.930000000008,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"27",0.45,0.982020389249305,6.77000000000407,108.720000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"28",0.5,0.983078491335372,7.52000000000407,116.25,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"29",0.5,0.982772680937819,7.52000000000407,123.779999999999,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"30",0.5,0.982262996941896,7.43999999998778,131.229999999996,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"31",0.55,0.981760507533703,8.08999999999651,139.339999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"32",0.55,0.983573127903025,8.16999999999825,147.529999999999,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"33",0.55,0.981420641214456,8.46999999998661,156.009999999995,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"34",0.6,0.98610579987253,9.22000000000116,165.25,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"35",0.6,0.98597833014659,9.28000000001339,174.540000000008,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"36",0.6,0.986998087954111,9.19999999999709,183.759999999995,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"37",0.65,0.987179487179487,9.97999999999593,193.759999999995,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"38",0.65,0.984120046620047,9.61000000000058,203.389999999999,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"39",0.65,0.986305361305361,10.0299999999988,213.430000000008,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"40",0.7,0.987933378653977,10.3300000000017,223.779999999999,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"41",0.7,0.986743711760707,10.429999999993,234.220000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"42",0.7,0.988103331067301,10.6199999999953,244.839999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"43",0.75,0.988168094655243,11.2299999999959,256.089999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"44",0.75,0.989596083231334,10.9300000000076,267.040000000008,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"45",0.75,0.987556099551204,10.8399999999965,277.919999999998,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"46",0.8,0.987764465969921,11.7099999999919,289.639999999999,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"47",0.8,0.992862605149121,11.609999999986,301.259999999995,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"48",0.8,0.986744838134081,11.6200000000099,312.900000000009,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"49",0.85,0.992179530771846,12.9099999999889,325.809999999998,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"50",0.85,0.991839510370622,12.1499999999942,337.979999999996,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"51",0.85,0.989459367562054,12.2599999999948,350.259999999995,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"52",0.9,0.991322103113834,12.7799999999988,363.059999999998,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"53",0.9,0.990301174068402,12.8899999999994,375.970000000001,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"54",0.9,0.986727922409393,13.4700000000012,389.449999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"55",0.95,0.982635342185904,13.4799999999959,402.949999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"56",0.95,0.986721144024515,13.4799999999959,416.449999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"57",0.95,0.98876404494382,13.5099999999948,429.979999999996,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
