"","prob","acc","elap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"17",0.3,0.924998179567465,4.5199999999968,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"18",0.3,0.922158304813224,4.47000000000116,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"19",0.35,0.933892722710163,5.18000000000029,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"20",0.35,0.929344416562108,5.31000000000131,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"21",0.35,0.925580301129235,5.33000000000175,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"22",0.4,0.932296975874958,5.85999999999694,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"23",0.4,0.928559293238192,5.95999999999913,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"24",0.4,0.938328236493374,5.93999999999869,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"25",0.45,0.943744207599629,6.7400000000016,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"26",0.45,0.936237256719184,6.60000000000218,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"27",0.45,0.938276181649676,6.7400000000016,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"28",0.5,0.941386340468909,7.45999999999913,"B","A","B","A","A","E","D","E","A","A","B","C","B","A","E","E","A","B","B","B"
"29",0.5,0.940978593272171,7.20999999999913,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"30",0.5,0.944954128440367,7.40999999999985,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"31",0.55,0.945961255239606,8.31999999999971,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"32",0.55,0.950152939843661,8.29999999999927,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"33",0.55,0.944601789962615,8,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"34",0.6,0.951943913320586,8.54999999999927,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"35",0.6,0.948374760994264,8.65999999999985,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"36",0.6,0.951688973868706,8.58000000000175,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"37",0.65,0.953671328671329,9.32999999999811,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"38",0.65,0.949300699300699,9.25,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"39",0.65,0.952214452214452,9.25,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"40",0.7,0.951733514615907,9.91999999999825,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"41",0.7,0.959551325628824,9.88000000000102,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"42",0.7,0.957171991842284,10.130000000001,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"43",0.75,0.957364341085271,10.760000000002,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"44",0.75,0.952060383516932,11,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"45",0.75,0.95797633618931,10.6000000000022,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"46",0.8,0.957175630894723,11.1899999999987,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"47",0.8,0.957175630894723,11.2099999999991,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"48",0.8,0.965332653581443,11.1599999999999,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"49",0.85,0.958177490649439,12.0799999999981,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"50",0.85,0.961917715062904,11.9300000000003,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"51",0.85,0.95409724583475,12,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"52",0.9,0.968351199591628,12.7000000000007,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"53",0.9,0.966819806023481,12.5800000000017,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"54",0.9,0.951505870342011,12.75,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"55",0.95,0.957099080694586,13.630000000001,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"56",0.95,0.954034729315628,13.2700000000004,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"57",0.95,0.957099080694586,13.2099999999991,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
