"","prob","acc","elap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"59",0.1,0.876656472986748,3.7300000000032,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"60",0.1,0.882432891607204,3.69000000000233,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","C"
"61",0.15,0.902488755622189,5.41999999999825,"A","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"62",0.15,0.909445277361319,5.46999999999389,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"63",0.15,0.912683658170915,5.48999999999796,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"64",0.15,0.905307346326837,5.41000000000349,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"65",0.15,0.901769115442279,5.52999999999884,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"66",0.15,0.905247376311844,5.37999999999738,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"67",0.15,0.911424287856072,5.47000000000116,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"68",0.15,0.905727136431784,5.48999999999796,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"69",0.15,0.905187406296852,5.38999999999942,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"70",0.15,0.910284857571214,5.59000000000378,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"71",0.15,0.904827586206897,5.47000000000116,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"72",0.15,0.902728635682159,5.41999999999825,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"73",0.15,0.904407796101949,5.46999999999389,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"74",0.15,0.909085457271364,5.5,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"75",0.15,0.899970014992504,5.40999999999622,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"76",0.15,0.898350824587706,5.38999999999942,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"77",0.15,0.909505247376312,5.40000000000146,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"78",0.15,0.911184407796102,5.36000000000058,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"79",0.15,0.905427286356822,5.44999999999709,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"80",0.15,0.905667166416792,5.44000000000233,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"81",0.15,0.894872563718141,5.45000000000437,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"82",0.15,0.909145427286357,5.45999999999913,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","C"
"83",0.15,0.902128935532234,5.5199999999968,"B","A","B","A","C","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"84",0.15,0.898290854572714,5.43999999999505,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","A","B"
"85",0.15,0.897451274362819,5.37999999999738,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"86",0.15,0.903148425787106,5.41999999999825,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"87",0.15,0.904227886056971,5.42000000000553,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"88",0.15,0.912203898050974,5.43000000000029,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"89",0.15,0.905427286356822,5.45000000000437,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"90",0.15,0.904167916041979,5.42000000000553,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"91",0.2,0.921949665498566,7.95999999999913,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"92",0.2,0.909716470213444,8.11999999999534,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"93",0.2,0.92169480726346,8.37999999999738,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"94",0.2,0.919209939471169,7.93000000000029,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"95",0.2,0.92169480726346,8.31999999999971,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"96",0.2,0.919655941382606,8.31000000000495,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"97",0.2,0.916406498884995,7.75,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"98",0.2,0.925645109907614,7.69000000000233,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"99",0.2,0.915450780503345,7.7300000000032,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"100",0.2,0.919082510353616,8.13999999999942,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"101",0.2,0.925645109907614,8.15999999999622,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"102",0.2,0.916979929913985,8.09999999999854,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"103",0.2,0.917999362854412,8.25,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"104",0.2,0.918254221089519,8.2300000000032,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"105",0.2,0.922395667410003,8.06000000000495,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"106",0.2,0.926154826377827,8.29000000000087,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"107",0.2,0.916661357120102,8.04999999999563,"B","A","B","A","A","E","D","A","A","A","C","C","B","A","E","E","A","B","B","B"
"108",0.2,0.917107359031539,7.84000000000378,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"109",0.2,0.917107359031539,7.68000000000029,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","C"
"110",0.2,0.921376234469576,7.5,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"111",0.2,0.9213125199108,7.65000000000146,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"112",0.2,0.917999362854412,7.23999999999796,"B","A","B","A","A","E","D","A","A","A","C","C","B","A","E","E","A","B","B","B"
"113",0.2,0.919337368588723,7.27999999999884,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"114",0.2,0.922969098438993,7.30999999999767,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"115",0.2,0.921631092704683,7.28000000000611,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"116",0.2,0.92379738770309,7.54000000000087,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"117",0.2,0.923478814909207,7.56999999999971,"A","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"118",0.2,0.92093023255814,7.27999999999884,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"119",0.2,0.919209939471169,7.31000000000495,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"120",0.2,0.923478814909207,7.2300000000032,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"121",0.25,0.93190621814475,9.29000000000087,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"122",0.25,0.929595650696568,9.26000000000204,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"123",0.25,0.926809378185525,9.16999999999825,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"124",0.25,0.933401291199456,9.08000000000175,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"125",0.25,0.922120285423038,9.38999999999942,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"126",0.25,0.928780156303092,9.61000000000058,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"127",0.25,0.931022765885151,9.38999999999942,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"128",0.25,0.932381923207611,9.04999999999563,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"129",0.25,0.933605164797825,9.23999999999796,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"130",0.25,0.934080869860686,9.27999999999884,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"131",0.25,0.930682976554536,9.18999999999505,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"132",0.25,0.927556914712878,9.20999999999913,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"133",0.25,0.928848114169215,9.23999999999796,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"134",0.25,0.925518178729188,9.2699999999968,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"135",0.25,0.923343527013252,9.15999999999622,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"136",0.25,0.926605504587156,9.15000000000146,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","C"
"137",0.25,0.927624872579001,9.07999999999447,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"138",0.25,0.931294597349643,9.15000000000146,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"139",0.25,0.930479102956167,9.19999999999709,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"140",0.25,0.930818892286782,9.10999999999331,"B","A","B","A","A","E","D","B","A","A","C","C","B","A","E","E","A","B","B","B"
"141",0.25,0.92782874617737,9.11000000000058,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"142",0.25,0.932178049609242,9.13999999999942,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"143",0.25,0.932246007475365,9.16999999999825,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"144",0.25,0.930818892286782,9.09999999999854,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"145",0.25,0.928644240570846,9.13999999999942,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"146",0.25,0.926877336051648,9.19000000000233,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"147",0.25,0.927353041114509,9.23999999999796,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"148",0.25,0.930818892286782,9.19000000000233,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"149",0.25,0.925314305130819,9.23999999999796,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"150",0.25,0.927217125382263,9.12999999999738,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"151",0.3,0.937013034296949,10.8499999999985,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"152",0.3,0.935119784460788,11,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"153",0.3,0.933153717323236,11.0699999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"154",0.3,0.938542197626156,10.9499999999971,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"155",0.3,0.940945168572053,11.0300000000061,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"156",0.3,0.939488822544236,10.9599999999991,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"157",0.3,0.937668390009466,11.0299999999988,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"158",0.3,0.938615014927547,10.8700000000026,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"159",0.3,0.93803247651642,11.0800000000017,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"160",0.3,0.944003495230467,11.0800000000017,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"161",0.3,0.939707274448409,11.0999999999985,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"162",0.3,0.939343187941455,11.0599999999977,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"163",0.3,0.93082356367873,10.9800000000032,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"164",0.3,0.937013034296949,11.0300000000061,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"165",0.3,0.93890628413311,10.8099999999977,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"166",0.3,0.938687832228938,10.8499999999985,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"167",0.3,0.940653899366489,10.9599999999991,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"168",0.3,0.937522755406685,10.8799999999974,"B","A","B","A","A","E","D","A","A","A","C","C","B","A","E","E","A","B","B","B"
"169",0.3,0.933663438432972,10.7900000000009,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"170",0.3,0.939270370640064,10.9300000000003,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"171",0.3,0.938469380324765,10.9500000000044,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"172",0.3,0.933736255734362,10.8700000000026,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"173",0.3,0.940289812859535,10.8400000000038,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"174",0.3,0.940508264763708,10.9400000000023,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"175",0.3,0.936867399694167,11.010000000002,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"176",0.3,0.941673341585961,11.1399999999994,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"177",0.3,0.936503313187213,11.8000000000029,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"178",0.3,0.941527706983179,10.8700000000026,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"179",0.3,0.936066409378868,11.0600000000049,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"180",0.3,0.936648947789995,10.9000000000015,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"181",0.35,0.94314617314931,12.9700000000012,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"182",0.35,0.946204516938519,12.9099999999962,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"183",0.35,0.940479924717691,13.1600000000035,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"184",0.35,0.94487139272271,12.8199999999997,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"185",0.35,0.944714554579674,13.8300000000017,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"186",0.35,0.942361982434128,13.6599999999962,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"187",0.35,0.946204516938519,13.4000000000015,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"188",0.35,0.949262860727729,13.4700000000012,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"189",0.35,0.943851944792974,13.5400000000009,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"190",0.35,0.940636762860728,13.5800000000017,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"191",0.35,0.94142095357591,13.2200000000012,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"192",0.35,0.942518820577164,13.4700000000012,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"193",0.35,0.945890840652447,13.3300000000017,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"194",0.35,0.94659661229611,13.0999999999985,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"195",0.35,0.9400878293601,13.3899999999994,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"196",0.35,0.945185069008783,13.2200000000012,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"197",0.35,0.945890840652447,13.1100000000006,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"198",0.35,0.939382057716437,12.9000000000015,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"199",0.35,0.941577791718946,12.6900000000023,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"200",0.35,0.94142095357591,12.7699999999968,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"201",0.35,0.946282936010038,12.989999999998,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"202",0.35,0.941264115432873,12.739999999998,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"203",0.35,0.941734629861982,13.3100000000049,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"204",0.35,0.946910288582183,13.2000000000044,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"205",0.35,0.944792973651192,13.0599999999977,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"206",0.35,0.941891468005019,12.6600000000035,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"207",0.35,0.941028858218319,12.6699999999983,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"208",0.35,0.944087202007528,12.75,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"209",0.35,0.945890840652447,14.0800000000017,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","C"
"210",0.35,0.944400878293601,14.4500000000044,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"211",0.4,0.944869181107713,15.2200000000012,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"212",0.4,0.9502208630649,14.8600000000006,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"213",0.4,0.949881073734285,15.1399999999994,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
